time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1784821985812968000,0.087968017578125,-0.9012140035629272,-0.2688620090484619,0.08190900087356567,0.3298720121383667,-0.03531160578131676,-0.5688261389732361,2.4294989109039307
1784821985822967800,0.0979677734375,-0.9012510180473328,-0.2688780128955841,0.08192799985408783,0.32975301146507263,-0.03520138934254646,-0.5688757300376892,2.4297895431518555
1784821985832968000,0.107968017578125,-0.9012849926948547,-0.2688950002193451,0.08195900171995163,0.3296410143375397,-0.03507152199745178,-0.5689362287521362,2.4300713539123535
1784821985842967800,0.1179677734375,-0.9013590216636658,-0.2689230144023895,0.08196800202131271,0.3294120132923126,-0.03491505980491638,-0.5690059065818787,2.4306161403656006
1784821985852968000,0.127968017578125,-0.9013879895210266,-0.26893800497055054,0.08203499764204025,0.32930299639701843,-0.0347098745405674,-0.5690876245498657,2.430908441543579
1784821985862967800,0.1379677734375,-0.9015370011329651,-0.268873006105423,0.08190400153398514,0.3289810121059418,-0.03470022231340408,-0.5688786506652832,2.431652069091797
1784821985872968000,0.147968017578125,-0.9018629789352417,-0.26879599690437317,0.08157499879598618,0.3282319903373718,-0.03479519858956337,-0.5685199499130249,2.433330535888672
1784821985882967800,0.1579677734375,-0.9019569754600525,-0.26855000853538513,0.08143699914216995,0.3282090127468109,-0.03485330939292908,-0.5679414868354797,2.433436393737793
1784821985892968000,0.167968017578125,-0.9020640254020691,-0.26823100447654724,0.08126500248908997,0.3282189965248108,-0.03494209796190262,-0.5671951174736023,2.4334816932678223
1784821985902967800,0.1779677734375,-0.9021520018577576,-0.26791098713874817,0.08106999844312668,0.32828599214553833,-0.03511875122785568,-0.5664277672767639,2.4333760738372803
1784821985912968700,0.18796875,-0.9022639989852905,-0.2676140069961548,0.08082699775695801,0.3282800018787384,-0.03536523878574371,-0.5656737685203552,2.4334099292755127
1784821985922968800,0.19796875,-0.9024249911308289,-0.2673319876194,0.08050700277090073,0.3281469941139221,-0.035697609186172485,-0.5648989081382751,2.433703899383545
1784821985932968700,0.20796875,-0.9027199745178223,-0.2670769989490509,0.08011099696159363,0.32763800024986267,-0.03595064580440521,-0.5641364455223083,2.4348506927490234
1784821985942968800,0.21796875,-0.9032729864120483,-0.26691898703575134,0.07954300194978714,0.32638001441955566,-0.0361277237534523,-0.5634710788726807,2.4376683235168457
1784821985952968700,0.22796875,-0.9040769934654236,-0.2668969929218292,0.0787310004234314,0.32436200976371765,-0.03640971705317497,-0.5629290342330933,2.442117929458618
1784821985962968800,0.23796875,-0.9048709869384766,-0.26695600152015686,0.07782399654388428,0.32231199741363525,-0.036943815648555756,-0.5624834895133972,2.4465484619140625
1784821985972968700,0.24796875,-0.9053120017051697,-0.2669219970703125,0.07712599635124207,0.3212690055370331,-0.03766077384352684,-0.5619670152664185,2.4487059116363525
1784821985982968800,0.25796875,-0.905797004699707,-0.2667990028858185,0.07635200023651123,0.32018598914146423,-0.038435738533735275,-0.5612267255783081,2.4509594440460205
1784821985992968700,0.26796875,-0.9060819745063782,-0.2665109932422638,0.07570300251245499,0.31977200508117676,-0.03927096351981163,-0.560225248336792,2.451749563217163
1784821986002968800,0.27796875,-0.9064620137214661,-0.2661510109901428,0.0749410018324852,0.31917500495910645,-0.04015708342194557,-0.5590135455131531,2.452956199645996
1784821986012968000,0.287968017578125,-0.9072800278663635,-0.26579201221466064,0.0738380029797554,0.31740400195121765,-0.0409574881196022,-0.5576203465461731,2.4567995071411133
