time,seconds_elapsed,z,y,x
1784821985921139200,0.19613916015625,8.368034362792969,5.2555718421936035,0.49320554733276367
1784821985931139300,0.206139404296875,8.432677268981934,5.238812446594238,0.45010992884635925
1784821985941139200,0.21613916015625,8.389581680297852,5.260360240936279,0.2777273952960968
1784821985951139300,0.226139404296875,8.248324394226074,5.303455829620361,0.16759411990642548
1784821985961139200,0.23613916015625,8.063970565795898,5.320215225219727,0.11971008777618408
1784821985971139300,0.246139404296875,8.008903503417969,5.29387903213501,0.038307227194309235
1784821985981139200,0.25613916015625,8.049605369567871,5.267542839050293,0.05267243832349777
1784821985991139300,0.266139404296875,8.047211647033691,5.222053050994873,0.09816227108240128
1784821986001139200,0.27613916015625,8.032846450805664,5.186140060424805,0.1412578970193863
1784821986011136000,0.286135986328125,8.061576843261719,5.238812446594238,0.15801730751991272
1784821986021136100,0.29613623046875,7.987356185913086,5.214870452880859,0.2537853717803955
1784821986031136300,0.30613623046875,7.98256778717041,5.217264652252197,0.40940847992897034
1784821986041136000,0.31613623046875,8.166921615600586,5.181351661682129,0.6320692300796509
1784821986051136300,0.32613623046875,8.372822761535645,5.06643009185791,0.7326257228851318
1784821986061136100,0.33613623046875,8.545205116271973,5.1023430824279785,0.5937620401382446
1784821986071136300,0.34613623046875,8.7391357421875,5.126285076141357,0.4572925269603729
1784821986081136000,0.35613623046875,8.827720642089844,5.126285076141357,0.3734954595565796
1784821986091136300,0.36613623046875,8.870816230773926,5.018546104431152,0.3663128614425659
1784821986101136100,0.37613623046875,8.801384925842285,4.982633113861084,0.42856210470199585
1784821986111136300,0.38613623046875,8.715193748474121,4.937143325805664,0.40940847992897034
1784821986121136000,0.39613623046875,8.722375869750977,4.934749126434326,0.40940847992897034
1784821986131136300,0.40613623046875,8.700828552246094,4.958691120147705,0.42377370595932007
1784821986141136100,0.41613623046875,8.662521362304688,4.985027313232422,0.4405331015586853
1784821986151136300,0.42613623046875,8.585906982421875,4.968267917633057,0.4429273009300232
1784821986161136000,0.43613623046875,8.50450325012207,4.917989730834961,0.40701428055763245
1784821986171136300,0.44613623046875,8.442254066467285,4.9060187339782715,0.3447650372982025
1784821986181136100,0.45613623046875,8.518868446350098,4.961085319519043,0.2513911724090576
1784821986191136300,0.46613623046875,8.5811185836792,4.934749126434326,0.24420857429504395
