time,seconds_elapsed,z,y,x
1784821985811120000,0.0861201171875,-0.019624045118689537,-0.000839939690195024,0.00733038317412138
1784821985822968800,0.09796875,-0.019624045118689537,-0.000839939690195024,0.00733038317412138
1784821985832968700,0.10796875,-0.019624045118689537,-0.000839939690195024,0.00733038317412138
1784821985842968800,0.11796875,-0.019624045118689537,-0.000839939690195024,0.00733038317412138
1784821985852968700,0.12796875,0.018249599263072014,0.00038179077091626823,-0.02321287989616394
1784821985862968800,0.13796875,0.02496911771595478,-0.0038942659739404917,-0.0403171069920063
1784821985872968700,0.14796875,0.020693060010671616,-0.000839939690195024,-0.06352998316287994
1784821985882968800,0.15796875,0.0188604649156332,-0.0032834007870405912,-0.08002334833145142
1784821985892968700,0.16796875,0.012751812115311623,-0.01366810966283083,-0.08185594528913498
1784821985902968800,0.17796875,-0.00007635815563844517,-0.0264962799847126,-0.08002334833145142
1784821985912968700,0.18796875,-0.007406740915030241,-0.03749185428023338,-0.08246681094169617
1784821985922968800,0.19796875,-0.023900102823972702,-0.03504839166998863,-0.08124507963657379
1784821985932968700,0.20796875,-0.04772384837269783,-0.03749185428023338,-0.0708603709936142
1784821985942968800,0.21796875,-0.06666067242622375,-0.0619264654815197,-0.05803219974040985
1784821985952968700,0.22796875,-0.07276932150125504,-0.09613491594791412,-0.04886921867728233
1784821985962968800,0.23796875,-0.07154759019613266,-0.11690433323383331,-0.05803219974040985
1784821985972968700,0.24796875,-0.06360634416341782,-0.12301298975944519,-0.08552113175392151
1784821985982968800,0.25796875,-0.04283692687749863,-0.12423472106456757,-0.11728613078594208
1784821985992968700,0.26796875,-0.025121834129095078,-0.12606731057167053,-0.14355333149433136
1784821986002968800,0.27796875,-0.016569720581173897,-0.1175151988863945,-0.1661553531885147
1784821986012967400,0.287967529296875,-0.008017606101930141,-0.12118039280176163,-0.19058994948863983
1784821986022967600,0.297967529296875,0.0029779679607599974,-0.15111279487609863,-0.2168571650981903
1784821986032967400,0.307967529296875,0.0017562375869601965,-0.20425806939601898,-0.24434609711170197
1784821986042967600,0.317967529296875,-0.017180584371089935,-0.2500729560852051,-0.2687807083129883
1784821986052967400,0.327967529296875,-0.04466952010989189,-0.2500729560852051,-0.2816088795661926
1784821986062967600,0.337967529296875,-0.06666067242622375,-0.20731239020824432,-0.2871066629886627
1784821986072967400,0.347967529296875,-0.08193229883909225,-0.14072808623313904,-0.2687807083129883
1784821986082967600,0.357967529296875,-0.08132143318653107,-0.11690433323383331,-0.24373523890972137
1784821986092967400,0.367967529296875,-0.07643451541662216,-0.09552405029535294,-0.21380282938480377
1784821986102967600,0.377967529296875,-0.07032585889101028,-0.06559165567159653,-0.17959438264369965
1784821986112967400,0.387967529296875,-0.06788240373134613,-0.024663684889674187,-0.15760323405265808
1784821986122967600,0.397967529296875,-0.06055201590061188,0.0290924571454525,-0.13927727937698364
1784821986132967400,0.407967529296875,-0.0544433668255806,0.07857254147529602,-0.1215621829032898
1784821986142967600,0.417967529296875,-0.05383250117301941,0.09384417533874512,-0.10567969083786011
1784821986152967400,0.427967529296875,-0.05994115397334099,0.07551821321249008,-0.09162978827953339
1784821986162967600,0.437967529296875,-0.06788240373134613,0.053527068346738815,-0.0806342139840126
1784821986172967400,0.447967529296875,-0.07521278411149979,0.04864014685153961,-0.08246681094169617
1784821986182967600,0.457967529296875,-0.08132143318653107,0.05535966157913208,-0.09224065393209457
1784821986192967400,0.467967529296875,-0.0746019184589386,0.06207918003201485,-0.0959058403968811
1784821986202967600,0.477967529296875,-0.06849326193332672,0.05841398984193802,-0.09162978827953339
1784821986212966700,0.487966552734375,-0.06910412758588791,0.038866300135850906,-0.08124507963657379
1784821986222966500,0.497966552734375,-0.07093672454357147,0.010766499675810337,-0.07513642311096191
1784821986232966700,0.507966552734375,-0.06238461285829544,0.009544769302010536,-0.0861319974064827
1784821986242966500,0.517966552734375,-0.05688682571053505,0.03459024429321289,-0.09957103431224823
1784821986252966700,0.527966552734375,-0.05077817291021347,0.060246583074331284,-0.11239920556545258
1784821986262966500,0.537966552734375,-0.041004329919815063,0.06574437022209167,-0.11911872029304504
1784821986272966700,0.547966552734375,-0.040393464267253876,0.056581392884254456,-0.12400564551353455
1784821986282966500,0.557966552734375,-0.04222606122493744,0.036422841250896454,-0.13011430203914642
1784821986292966700,0.567966552734375,-0.044058654457330704,0.005268712528049946,-0.1466076523065567
1784821986302966500,0.577966552734375,-0.04589125141501427,-0.02710714563727379,-0.16798794269561768
1784821986312967400,0.587967529296875,-0.044058654457330704,-0.05093089118599892,-0.18875735998153687
1784821986322967300,0.59796728515625,-0.043447788804769516,-0.04726569727063179,-0.20830504596233368
1784821986332967400,0.607967529296875,-0.04466952010989189,-0.031383201479911804,-0.22113321721553802
1784821986342967300,0.61796728515625,-0.04894557595252991,-0.016722436994314194,-0.22846360504627228
1784821986352967400,0.627967529296875,-0.05077817291021347,0.0009926559869199991,-0.2376265823841095
1784821986362967300,0.63796728515625,-0.04833471402525902,0.0022143865935504436,-0.2431243658065796
1784821986372967400,0.647967529296875,-0.0391717329621315,-0.01488984003663063,-0.24434609711170197
1784821986382967300,0.65796728515625,-0.031841352581977844,-0.04115704447031021,-0.251676470041275
1784821986392967400,0.667967529296875,-0.032452214509248734,-0.0466548316180706,-0.2742784917354584
1784821986402967300,0.67796728515625,-0.034895677119493484,-0.04604396969079971,-0.3139847218990326
1784821986412966700,0.687966552734375,-0.043447788804769516,-0.03749185428023338,-0.3597996234893799
1784821986422966500,0.697966552734375,-0.05322163552045822,-0.033826664090156555,-0.3988949954509735
1784821986432966700,0.707966552734375,-0.06360634416341782,-0.028939740732312202,-0.4239404797554016
1784821986442966500,0.717966552734375,-0.07399105280637741,0.007712173741310835,-0.42699480056762695
1784821986452966700,0.727966552734375,-0.09414960443973541,0.06757696717977524,-0.4184426963329315
